1.3 Gender_Female,1.4 Educational Qualification_12th pass/PU,1.4 Educational Qualification_Primary,1.4 Educational Qualification_Secondary,1.5 Social Category_General,1.5 Social Category_OBC,1.5 Social Category_SC,1.6 Economic Status_BPL,1.15 Experience in business (Overall)_0 to 5 yrs,1.15 Experience in business (Overall)_6 to 10 yrs,2.2 Business Sector_General business,2.2 Business Sector_Handicraft,2.2 Business Sector_Textile & Garment,2.3 Trader / Manufacturer / Service_Manufacturer,2.3 Trader / Manufacturer / Service_Trader,2.7 Ownership ( Any Aspiring/existing)_Individually owned,Annual ,Turnover Increase
1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,-0.320494176,0.153738629
1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,-0.320494176,0.338224984
1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,-0.562376573,0.338224984
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,-0.078611779,0.522711339
1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,-0.078611779,0.522711339
1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,-0.320494176,0.522711339
1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,-0.320494176,0.55960861
1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,-0.078611779,0.891684048
1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,-0.078611779,1.998602177
1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,-0.320494176,-0.399720435
1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,-0.280180443,-0.768693145
1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,-0.683317772,-0.676449968
1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,-0.532141273,-0.58420679
1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,-0.632925606,-0.58420679
1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,-0.078611779,-0.399720435
1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,-0.078611779,-0.399720435
1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,-0.632925606,-0.676449968
1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,-0.431356941,-0.58420679
0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0.727662878,-0.491963613
1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0.526094214,2.183088532
1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-0.280180443,-0.676449968
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,-0.532141273,-0.58420679
1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,-0.320494176,-0.768693145
1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,-0.280180443,-0.491963613
1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,-0.481749107,-0.399720435
1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,-0.199552978,-0.215234081
1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,-0.562376573,-0.122990903
1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,-0.199552978,-0.510412248
1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,-0.320494176,-0.104542268
1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,-0.078611779,-1.137665855
1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,-1.167082566,-0.215234081
1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0.727662878,-0.307477258
1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,-0.481749107,-0.399720435
0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0.526094214,0.522711339
0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,-0.078611779,-1.414395387
1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1.735506199,-0.58420679
1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,-0.078611779,0.153738629
0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,-0.078611779,-0.030747726
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,-0.078611779,-0.030747726
1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,-0.078611779,0.153738629
1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.042329419,-0.547309519
0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,-0.078611779,-0.491963613
1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,-0.078611779,-0.104542268
1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,5.766879482,4.765897499
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1.231584538,1.076170403
